n_sessions,help_seeking,sleep_hrs,self_sufficiency,age,gender,resilience_change
7,Yes,9,21,37,m,8
4,No,4,22,55,m,17
8,Yes,7,22,34,f,6
5,Yes,5,22,29,f,16
7,No,8,25,38,m,9
3,No,9,26,44,m,17
7,Yes,5,26,51,m,10
8,Yes,4,26,37,m,3
5,No,8,22,28,f,16
4,No,4,20,35,m,20
8,No,4,25,37,m,7
8,No,6,22,50,m,6
3,No,9,22,24,m,20
6,No,4,22,29,f,14
5,No,7,28,25,m,11
2,No,4,23,27,m,29
8,Yes,8,24,42,m,6
6,Yes,7,22,42,f,13
2,Yes,4,29,51,f,24
5,No,7,20,31,m,12
1,Yes,4,23,27,f,28
6,No,9,20,44,m,11
9,Yes,7,26,33,m,1
1,No,5,26,34,m,28
3,No,6,23,18,f,26
7,Yes,7,24,20,f,13
4,No,8,29,51,m,13
9,Yes,6,26,54,m,1
3,Yes,6,25,48,f,20
5,Yes,4,23,48,m,16
3,Yes,7,23,42,m,22
7,Yes,9,21,21,f,8
5,Yes,6,29,26,m,12
9,Yes,8,21,42,m,5
7,Yes,9,23,45,m,7
2,Yes,9,24,35,f,23
4,No,8,23,46,m,17
9,No,8,22,35,m,4
2,Yes,4,21,32,m,23
9,No,5,23,43,m,4
5,No,7,24,26,m,17
2,Yes,6,20,45,m,24
4,Yes,7,20,41,m,15
7,No,9,25,34,m,10
8,Yes,6,24,18,f,6
3,Yes,4,23,36,m,22
1,Yes,7,20,46,m,26
4,No,4,26,21,m,19
2,Yes,4,23,31,m,23
8,No,7,22,31,m,8
4,Yes,7,26,52,m,17
2,Yes,6,21,50,f,24
6,No,9,29,26,f,6
6,Yes,9,20,25,f,10
4,No,8,23,34,f,15
6,No,4,27,42,m,8
2,Yes,9,25,55,m,21
2,Yes,5,28,21,f,23
4,No,6,20,41,m,20
8,No,6,20,52,m,10
7,Yes,8,24,38,f,12
9,Yes,8,25,30,f,-1
8,Yes,4,27,47,m,5
5,Yes,6,22,40,f,15
2,Yes,6,25,43,f,23
5,No,5,22,41,f,17
8,No,4,27,43,m,6
9,No,4,23,36,f,6
9,No,9,21,24,f,3
1,Yes,8,28,25,m,26
9,No,9,29,23,f,3
7,Yes,4,27,25,m,7
9,Yes,5,25,38,m,1
8,Yes,4,22,24,m,10
1,Yes,9,21,21,m,23
8,Yes,7,23,33,f,7
8,No,7,23,25,f,7
3,Yes,5,20,54,f,19
1,Yes,8,28,39,f,25
8,Yes,6,29,31,f,5
3,No,4,27,21,m,24
3,Yes,9,26,22,m,19
1,Yes,8,25,44,f,26
5,Yes,9,22,33,m,12
7,No,8,23,46,m,9
9,Yes,4,21,44,m,2
7,No,6,26,18,m,8
9,No,4,21,27,f,4
8,Yes,6,29,37,m,3
2,No,9,20,43,f,23
1,No,5,25,23,f,25
7,Yes,6,23,27,m,9
7,Yes,8,27,45,m,7
8,Yes,5,20,44,f,8
5,Yes,9,28,29,m,13
3,No,7,25,48,f,18
8,No,5,21,22,f,7
6,Yes,6,27,29,m,14
3,Yes,5,24,33,f,19
1,Yes,9,24,18,m,24
3,No,5,24,21,m,23
5,Yes,9,26,23,f,9
3,No,7,26,48,f,17
1,No,6,29,21,m,23
5,No,8,26,38,f,13
7,No,5,29,42,m,8
7,Yes,4,21,24,f,14
9,Yes,8,27,48,m,0
3,Yes,5,20,49,f,21
7,No,8,21,43,m,8
1,No,4,26,26,m,26
4,Yes,8,23,33,f,18
4,No,8,29,54,f,18
5,No,4,29,31,m,15
7,No,4,28,45,f,12
7,Yes,4,28,31,m,8
4,Yes,7,22,36,f,20
7,Yes,9,22,51,m,6
3,No,9,28,24,m,21
6,Yes,4,29,24,f,12
2,Yes,9,27,30,f,21
9,Yes,8,20,29,f,0
5,No,4,25,22,f,15
6,No,5,26,32,f,14
4,No,4,27,39,f,20
7,No,4,21,49,f,8
9,No,9,20,43,f,3
7,Yes,6,23,51,m,9
1,Yes,8,20,46,m,26
1,No,9,21,24,m,28
9,No,8,22,49,f,-1
9,Yes,5,23,37,m,3
4,No,7,25,23,f,20
9,No,6,27,29,f,2
3,No,5,28,20,f,19
7,No,5,23,19,m,12
6,No,8,20,35,f,13
8,Yes,6,24,40,f,5
9,Yes,8,24,26,f,1
5,No,7,28,53,m,15
1,No,8,25,44,m,29
3,Yes,4,24,31,m,20
8,No,8,29,38,m,2
6,Yes,4,29,32,f,12
8,No,5,24,35,m,8
9,Yes,7,27,29,f,-2
4,Yes,9,20,25,m,21
1,No,4,24,30,m,26
1,No,7,20,33,m,25
4,Yes,8,26,47,m,17
7,No,9,26,48,m,12
2,Yes,8,29,22,f,20
3,No,5,27,51,f,20
1,No,8,26,26,m,22
5,No,4,28,51,m,16
1,Yes,5,27,52,f,25
8,Yes,7,27,47,m,9
1,No,5,22,37,f,26
1,Yes,7,29,28,m,27
2,No,6,23,51,m,24
2,Yes,4,23,47,m,27
6,No,4,20,49,m,13
7,Yes,7,25,54,m,9
5,Yes,8,21,25,m,14
1,Yes,9,28,27,m,24
1,Yes,8,20,40,m,25
3,Yes,6,20,33,f,18
2,Yes,7,29,37,f,20
5,No,6,25,46,m,16
6,No,7,20,20,f,13
7,Yes,6,22,52,f,7
4,No,7,29,18,m,18
7,Yes,4,21,39,f,10
8,No,6,28,53,f,9
1,No,6,24,43,m,27
6,No,7,25,33,m,14
8,No,5,21,36,f,9
5,Yes,5,27,34,m,14
4,No,4,25,54,f,17
2,No,8,27,45,m,23
6,No,8,27,32,m,8
6,Yes,4,20,36,m,16
1,No,8,26,54,m,23
9,Yes,9,21,51,m,3
6,Yes,9,27,33,f,8
3,No,9,21,52,m,20
4,Yes,9,23,35,m,18
4,No,7,21,42,f,16
3,No,5,26,19,f,19
3,No,4,24,53,m,23
3,No,7,28,55,f,18
4,No,9,24,20,f,16
7,No,4,27,47,f,9
4,No,5,21,28,f,18
9,Yes,8,22,47,m,5
1,Yes,7,25,42,m,25
8,No,5,26,50,f,9
7,No,4,29,45,m,11
2,Yes,6,27,47,m,23
8,No,7,22,45,m,4
1,Yes,4,26,47,m,27
9,Yes,4,27,29,m,4
9,No,5,29,27,f,4
2,No,4,25,18,m,24
7,Yes,7,23,28,m,11
3,Yes,9,25,19,m,22
7,No,7,28,21,f,5
9,No,4,22,40,f,4
4,Yes,5,21,45,f,20
1,Yes,7,24,47,f,27
2,Yes,6,26,54,m,24
1,No,9,22,25,f,28
5,No,8,24,27,m,15
5,No,5,23,27,m,15
7,Yes,5,26,25,f,6
9,Yes,8,21,37,f,3
9,No,8,26,43,m,1
3,Yes,7,21,54,m,20
3,Yes,4,22,43,m,22
3,Yes,4,24,18,m,21
4,Yes,6,26,41,f,15
8,Yes,9,25,43,f,5
6,No,4,26,20,m,12
8,No,6,25,40,f,6
1,No,6,20,22,m,27
8,No,5,24,18,f,5
4,No,5,20,40,m,19
1,Yes,9,26,20,f,24
8,Yes,7,23,22,m,5
4,Yes,8,24,18,m,20
6,No,8,20,21,m,12
8,Yes,9,27,25,f,5
4,Yes,6,23,32,f,18
3,Yes,9,22,30,m,19
9,No,8,20,19,m,2
3,Yes,6,23,32,f,16
9,Yes,8,22,19,f,0
2,No,7,27,33,f,22
2,No,5,28,41,m,22
2,Yes,5,24,44,m,24
6,No,6,28,22,m,11
3,Yes,9,20,35,f,19
9,No,8,26,32,f,4
4,Yes,4,26,35,m,19
1,Yes,7,25,27,f,28
4,No,8,23,31,f,17
1,No,4,28,29,m,27
5,No,7,22,35,m,15
4,No,7,20,41,m,20
8,Yes,5,21,52,m,7
8,No,6,22,27,f,7
7,Yes,8,21,48,m,8
3,Yes,7,25,36,m,19
1,Yes,8,26,20,f,25
1,No,7,24,40,f,26
3,Yes,9,24,54,f,18
6,Yes,5,26,48,f,12
7,No,6,25,22,f,11
6,Yes,4,27,39,m,12
6,Yes,4,28,45,m,11
6,Yes,9,21,32,m,9
3,No,5,21,20,f,20
6,Yes,7,20,41,m,13
8,Yes,5,26,27,m,2
2,Yes,6,23,46,m,25
5,No,4,28,45,f,16
1,No,8,25,43,m,23
1,No,4,26,38,f,30
5,Yes,6,26,46,m,14
3,Yes,7,27,30,f,19
4,Yes,5,23,28,m,21
3,Yes,4,22,24,f,25
1,Yes,4,22,25,f,25
1,No,8,29,35,f,23
5,Yes,5,27,27,m,13
6,Yes,8,22,48,f,13
3,No,8,27,33,m,19
9,No,7,21,23,f,-1
5,Yes,4,24,29,f,15
8,No,9,24,46,m,5
1,No,5,26,44,f,26
5,No,7,24,48,m,14
3,Yes,9,28,32,f,19
1,No,7,22,21,m,26
4,Yes,7,28,25,m,12
5,No,6,20,31,f,16
7,Yes,6,22,42,m,7
1,Yes,7,23,45,m,19
3,Yes,6,25,39,f,21
2,No,5,29,20,m,22
9,No,4,27,29,f,7
6,No,9,26,37,f,10
3,Yes,5,27,26,m,15
8,No,4,25,19,f,5
8,No,6,25,23,f,6
2,Yes,9,25,24,f,23
6,No,5,22,36,f,14
7,Yes,8,29,26,m,8
2,No,7,23,45,f,25
2,Yes,4,25,25,m,22
1,Yes,4,26,50,f,24
8,No,8,22,35,m,6
1,Yes,8,23,29,m,26
9,No,7,25,26,m,1
6,No,6,20,33,m,10
7,No,5,26,31,m,7
7,No,5,20,44,m,10
3,Yes,5,29,19,f,17
2,Yes,6,28,44,f,20
9,Yes,7,29,39,m,1
8,No,5,28,25,m,5
7,No,4,28,40,f,10
9,Yes,4,23,33,m,2
4,Yes,4,21,32,m,19
4,No,8,26,41,m,18
1,No,8,23,18,m,28
8,No,6,24,48,f,7
3,Yes,5,20,44,f,23
7,No,8,29,53,m,1
2,Yes,4,25,45,f,23
2,No,8,26,33,m,23
7,Yes,4,22,29,m,10
6,No,5,29,49,m,10
3,Yes,6,21,22,m,20
9,Yes,7,29,23,m,3
6,Yes,7,26,18,m,11
6,No,4,20,25,f,15
1,Yes,8,21,27,m,26
4,Yes,8,22,42,m,19
6,No,4,23,41,f,12
6,Yes,5,24,26,m,11
5,Yes,4,23,21,f,14
1,No,5,29,28,m,30
8,Yes,6,22,33,m,7
5,No,6,20,55,m,14
5,Yes,4,26,47,m,14
7,No,6,29,44,f,10
4,Yes,8,25,39,f,12
6,Yes,5,21,41,f,17
4,Yes,7,21,47,m,17
3,No,7,22,36,f,17
7,Yes,6,27,35,m,11
8,Yes,5,27,25,m,6
4,No,8,29,31,f,18
2,No,7,29,38,m,20
3,No,8,29,46,f,20
1,Yes,8,29,38,m,22
8,Yes,7,27,19,m,2
3,Yes,7,26,46,m,21
7,No,6,21,46,f,13
5,No,5,20,52,f,15
5,Yes,4,25,20,f,14
7,Yes,5,27,20,m,8
9,No,4,20,22,f,6
5,No,7,22,32,m,11
1,No,8,20,25,m,26
1,Yes,5,29,18,f,22
2,No,8,28,27,m,23
6,No,5,26,53,f,7
9,No,9,27,37,m,3
8,No,5,28,50,m,3
5,Yes,8,22,29,f,16
1,No,9,29,25,m,22
7,Yes,6,21,32,m,9
5,Yes,7,25,51,f,14
6,No,6,24,22,m,11
7,No,6,23,43,f,9
3,Yes,5,25,39,m,20
3,No,7,25,36,f,24
5,Yes,9,22,31,f,10
6,No,5,21,49,m,10
9,Yes,4,28,38,f,3
5,Yes,5,27,26,f,13
1,Yes,9,23,20,m,21
4,No,8,25,42,m,15
5,Yes,5,22,51,f,16
5,Yes,4,27,44,f,17
7,No,5,22,45,m,9
4,No,9,21,44,m,17
1,Yes,4,26,52,m,26
5,Yes,7,22,21,f,16
7,No,9,28,39,f,7
6,Yes,5,22,35,m,11
5,No,4,27,23,f,16
4,No,9,21,31,f,17
2,No,7,28,29,f,22
4,Yes,8,20,48,m,16
3,No,6,22,42,f,24
1,Yes,4,21,51,m,28
8,Yes,8,26,35,m,6
5,No,7,24,18,f,14
4,No,8,27,35,m,17
8,No,5,21,49,f,6
7,No,6,27,20,m,9
2,Yes,4,26,40,f,25
1,Yes,9,24,31,f,26
4,No,7,21,35,m,17
8,Yes,6,29,40,f,8
2,No,7,26,26,f,22
